cleaned_text,tokens
I'll tell you what's wrong. That rotten Moe is getting rich off a recipe i gave him!,tell wrong rotten moe get rich recipe give
"How could you do this to me, Moe? This bar was going under and it was the drink I invented that saved it.",moe bar go drink invent save
"Business, eh? Well let me tell you something. You just lost yourself a customer!",business eh let tell lose customer
Stupid Moe... non-inventing... recipe stealing... pug-nosed...,stupid moe non inventing recipe steal pug nosed
"Oooh! Look at me, I'm making people happy. I'm the Magical Man from Happyland in a gum drop house on Lollipop Lane!",oooh look make people happy magical man happyland gum drop house lollipop lane
"Moe, Moe, Moe, Moe, Moe, Moe, Moe...",moe moe moe moe moe moe moe
"Fools! You poor, pathetic, misguided creatures, choking down your Flaming Moe's. All the time wondering, ""How does he do it?"" Well, I'm going tell you. The secret ingredient is...",fool poor pathetic misguided creature choke flaming moe time wonder going tell secret ingredient
"Cough syrup. Nothing but plain, ordinary, over the counter children's cough syrup!",cough syrup plain ordinary counter child cough syrup
"Moe, sorry I lost you hundreds of thousands of dollars.",moe sorry lose hundred thousand dollar
"Ahh. Thanks, Moe. You're the greatest friend a guy could ever have.",ahh thank moe great friend guy
Sell! Sell! Sell! Woo hoo! Twenty-five dollars!,sell sell sell woo hoo dollar
"Ooooh... ooh, hot wax... ooh, hammer...",ooooh ooh hot wax ooh hammer
"No, I'd like a bottle of Henry K. Duff's Private Reserve.",like bottle henry duff private reserve
"For your information, I just made a cool twenty-five dollars playing the market. Buy low, sell high, that's my motto. I may just quit my job at the power plant to become a full-time stock market guy.",information cool dollar play market buy low sell high motto quit job power plant time stock market guy
"Well, I happen to know that he won't sell it for less than 100 million dollars.",happen know will sell million dollar
"Lisa, your father needs your help. Do you know anything about Germany?",lisa father need help know germany
"Oh, Marge, I'm gonna be fired. I know it.",oh marge go to fire know
"Marge, it's not the money. My job is my identity. If I'm not a safety whatchamajigger, I'm nothing.",marge money job identity safety whatchamajigger
"Oh, what am I gonna... Hey, you! top being so unsafe! Smitty -- safen-up!",oh go to hey unsafe smitty safen
"Well, ah, I wish the candy machine wasn't so picky about taking beat-up dollar bills... because a lot of workers really like candy.",ah wish candy machine picky take beat dollar bill lot worker like candy
"Oh, oh, oh. I'm sorry. We were talking about chocolate?",oh oh oh sorry talk chocolate
